Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,state
12/27/2015,1.33,64236.62,1036.74,54454.85,48.16,8696.87,863.62,93.25,,conventional,2015,Albany,NewYork
12/20/2015,1.35,54876.98,674.28,44638.81,58.33,955.56,948.7,97.49,,conventional,2015,Albany,NewYork
12/13/2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,842.21,13.14,,conventional,2015,Albany,NewYork
12/6/2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,,conventional,2015,Albany,NewYork
11/29/2015,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,,conventional,2015,Albany,NewYork
11/22/2015,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,,conventional,2015,Albany,NewYork
11/15/2015,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.5,,conventional,2015,Albany,NewYork
11/8/2015,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,,conventional,2015,Albany,NewYork
11/1/2015,1.02,99811.42,1022.15,87315.57,85.34,11388.36,1114.53,283.83,,conventional,2015,Albany,NewYork
10/25/2015,1.07,74338.76,842.4,64757.44,113,8625.92,861.47,564.45,,conventional,2015,Albany,NewYork
10/18/2015,1.12,84843.44,924.86,75595.85,117.07,825.66,7877.86,327.8,,conventional,2015,Albany,NewYork
10/11/2015,1.28,64489.17,1582.03,52677.92,105.32,1123.9,9866.27,257.63,,conventional,2015,Albany,NewYork
10/4/2015,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,,conventional,2015,Albany,NewYork
9/27/2015,0.99,106803.39,1204.88,99409.21,154.84,634.46,5888.87,145.59,,conventional,2015,Albany,NewYork
9/20/2015,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,,conventional,2015,Albany,NewYork
9/13/2015,1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,,conventional,2015,Albany,NewYork
9/6/2015,1.11,99172.96,879.45,90062.62,240.79,799.1,7762.87,227.23,,conventional,2015,Albany,NewYork
8/30/2015,1.07,105693.84,689.01,94362.67,335.43,136.73,1218.93,87.8,,conventional,2015,Albany,NewYork
8/23/2015,1.34,79992.09,733.16,67933.79,444.78,188.36,1745.79,134.57,,conventional,2015,Albany,NewYork
8/16/2015,1.33,80043.78,539.65,68666.01,394.9,1443.22,1297.68,145.54,,conventional,2015,Albany,NewYork
8/9/2015,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,19.55,,conventional,2015,Albany,NewYork
